,evtype,std_name
1,TSTM WIND,MARINE THUNDERSTORM WIND
2,ICE STORM/FLASH FLOOD,ICE STORM
3,HURRICANE OPAL/HIGH WINDS,HURRICANE OPAL/HIGH WIND
4,THUNDERSTORM WINDS,THUNDERSTORM WIND
5,COLD,COLD/WIND CHILL
6,FLOODING,FLOOD
7,EXTREME COLD,EXTREME COLD/WIND CHILL
8,MARINE MISHAP,OTHER
9,HIGH WIND/SEAS,MARINE HIGH WIND
10,HIGH SEAS,HIGH SURF
11,HIGH WINDS,HIGH WIND
12,THUNDERSTORM WINDS/HAIL,THUNDERSTORM WIND
13,GUSTY WINDS,STRONG WIND
14,WILD FIRES,WILDFIRE
15,HIGH,OTHER
16,WINTER STORM HIGH WINDS,WINTER STORM
17,WINTER STORMS,WINTER STORM
18,FLOOD/FLASH FLOOD,FLOOD
19,DRY MIRCOBURST WINDS,MICROBURST
20,DRY MICROBURST,MICROBURST
21,THUNDERSTORM WINDSS,THUNDERSTORM WIND
22,HEAT WAVE,HEAT
23,UNSEASONABLY WARM,UNSEASONABLY WARM
24,STRONG WINDS,STRONG WIND
25,WATERSPOUT TORNADO,WATERSPOUT
26,HURRICANE ERIN,HURRICANE (TYPHOON)
27,WATERSPOUT/TORNADO,WATERSPOUT
28,WIND,STRONG WIND
29,STORM SURGE,STORM SURGE/TIDE
30,HURRICANE OPAL,HURRICANE (TYPHOON)
31,"TORNADOES, TSTM WIND, HAIL",TORNADO
32,TROPICAL STORM GORDON,TROPICAL STORM
33,LIGHTNING INJURY,LIGHTNING
34,LIGHTNING AND THUNDERSTORM WIN,LIGHTNING
35,THUNDERSTORM WINDS 13,THUNDERSTORM WIND
36,FLASH FLOODING,FLASH FLOOD
37,SNOW,HEAVY SNOW
38,FREEZING RAIN/SNOW,FROST/FREEZE
39,THUNDERSNOW,THUNDERSTORM WIND
40,RIVER FLOOD,FLOOD
41,EXTREME HEAT,EXCESSIVE HEAT
42,WINDS,STRONG WIND
43,FREEZING RAIN,FROST/FREEZE
44,FOG,OTHER
45,SNOW AND ICE,HEAVY SNOW
46,WIND STORM,STRONG WIND
47,ICE,FROST/FREEZE
48,URBAN AND SMALL STREAM FLOODIN,FLOOD
49,FREEZE,FROST/FREEZE
50,LIGHTNING.,LIGHTNING
51,HURRICANE-GENERATED SWELLS,HURRICANE (TYPHOON)
52,THUNDERTORM WINDS,THUNDERSTORM WIND
53,COLD WAVE,COLD/WIND CHILL
54,TORNADO F3,TORNADO
55,FLOOD/RIVER FLOOD,FLOOD
56,GLAZE/ICE STORM,ICE STORM
57,AVALANCE,AVALANCHE
58,HEAVY SNOW AND HIGH WINDS,HEAVY SNOW
59,RIP CURRENTS/HEAVY SURF,RIP CURRENT
60,FOG AND COLD TEMPERATURES,FREEZING FOG
61,HEAVY SURF,HIGH SURF
